"Date","Team","Acquired","Relinquished","Notes"
"2021-05-02","Bucks","","• Bobby Portis","stomach illness (DTD)"
"2021-05-02","Bucks","• Giannis Antetokounmpo","","activated from IL"
"2021-05-02","Bulls","• Cristiano Felicio","","activated from IL"
"2021-05-02","Heat","• Nemanja Bjelica","","returned to lineup"
"2021-05-02","Heat","• Udonis Haslem","","returned to lineup"
"2021-05-02","Hornets","• Devonte' Graham","","returned to lineup"
"2021-05-02","Kings","","• Chimezie Metu","placed on IL with sore lower back"
"2021-05-02","Lakers","","• Dennis Schröder","placed on IL with NBA health and safety protocols"
"2021-05-02","Lakers","• Alex Caruso","","activated from IL"
"2021-05-02","Mavericks","","• Tim Hardaway Jr.","placed on IL with sore right ankle"
"2021-05-02","Mavericks","• J.J. Redick","","activated from IL"
"2021-04-30","Hawks","• Tony Snell","","activated from IL"
"2021-04-30","Hawks","• Trae Young","","activated from IL"
"2021-04-30","Kings","• Marvin Bagley III","","activated from IL"
"2021-04-30","Lakers","","• Alex Caruso","placed on IL with back spasms"
"2021-04-30","Lakers","• LeBron James","","activated from IL"
"2021-04-30","Mavericks","• Dorian Finney-Smith","","returned to lineup"
"2021-04-30","Mavericks","• Luka Doncic","","activated from IL"
"2021-04-30","Nets","","• Kevin Durant","left hamstring injury (DTD)"
"2021-04-30","Nets","• Kyrie Irving","","activated from IL"
"2021-04-30","Pacers","","• JaKarr Sampson","placed on IL with concussion"
"2021-04-30","Pistons","","• Jahlil Okafor","placed on IL with NBA health and safety protocols"
"2021-04-30","Raptors","• Fred VanVleet","","activated from IL"
"2021-04-30","Suns","• Dario Saric","","returned to lineup"
"2021-04-30","Thunder","","• Luguentz Dort","placed on IL with strained right hip"
"2021-05-01","Bucks","• Donte DiVincenzo","","activated from IL"
"2021-05-01","Bulls","","• Nikola Vucevic","hip injury (DTD)"
"2021-05-01","Bulls","• Lauri Markkanen","","activated from IL"
"2021-05-01","Cavaliers","","• Darius Garland","sprained left ankle (DTD)"
"2021-05-01","Clippers","• Kawhi Leonard","","activated from IL"
"2021-05-01","Grizzlies","• Jaren Jackson Jr.","","activated from IL"
"2021-05-01","Hawks","• Bogdan Bogdanovic","","returned to lineup"
"2021-05-01","Hawks","• Kevin Huerter","","activated from IL"
"2021-05-01","Heat","","• Nemanja Bjelica","stomach illness (DTD)"
"2021-05-01","Heat","","• Udonis Haslem","stomach illness (DTD)"
