"Date","Team","Acquired","Relinquished","Notes"
"2021-01-19","Celtics","• Tacko Fall","","activated from IL"
"2021-01-19","Clippers","• Serge Ibaka","","activated from IL"
"2021-01-19","Jazz","• Joe Ingles","","activated from IL"
"2021-01-16","Heat","• Edrice Adebayo / Bam Adebayo","","returned to lineup"
"2021-01-16","Heat","• Goran Dragic","","activated from IL"
"2021-01-16","Heat","• K.Z. Okpala","","activated from IL"
"2021-01-16","Heat","• Kendrick Nunn","","activated from IL"
"2021-01-16","Heat","• Maurice Harkless / Moe Harkless","","activated from IL"
"2021-01-16","Heat","• Udonis Haslem","","returned to lineup"
"2021-01-16","Hornets","• Gordon Hayward","","returned to lineup"
"2021-01-16","Nets","• Tyler Johnson","","returned to lineup"
"2021-01-16","Pistons","","• Frank Jackson","placed on IL with sprained left ankle"
"2021-01-16","Pistons","• Derrick Rose","","activated from IL"
"2021-01-16","Rockets","","• DeMarcus Cousins","sore right ankle (DTD)"
"2021-01-16","Rockets","","• Sterling Brown","lower leg injury (DTD)"
"2021-01-16","Rockets","• Rodions Kurucs","","activated from IL"
"2021-01-16","Rockets","• Victor Oladipo","","activated from IL"
"2021-01-16","Spurs","","• Luka Samanic","sore throat (DTD)"
"2021-01-16","Pacers","","• Caris LeVert","mass on kidney (out indefinitely)"
"2021-01-17","76ers","• Furkan Korkmaz","","activated from IL"
"2021-01-17","Blazers","","• C.J. McCollum","fractured left foot (out indefinitely)"
"2021-01-17","Celtics","","• Tacko Fall","placed on IL with sprained left ankle"
"2021-01-17","Celtics","• Kemba Walker","","activated from IL"
"2021-01-17","Clippers","","• Serge Ibaka","placed on IL with illness"
"2021-01-17","Grizzlies","","• Jonas Valanciunas","placed on IL with NBA health and safety protocols"
"2021-01-17","Jazz","","• Elijah Hughes","placed on IL with sprained left ankle"
"2021-01-17","Mavericks","","• Tim Hardaway Jr.","strained left groin (DTD)"
"2021-01-17","Pacers","","• JaKarr Sampson","placed on IL with sore back"
"2021-01-14","Timberwolves","","• Juancho Hernangomez / Juan Hernangomez","placed on IL with NBA health and safety protocols"
"2021-01-14","Timberwolves","","• Ricky Rubio","NBA health and safety protocols (DTD)"
"2021-01-15","76ers","","• (James) Mike Scott","right knee injury (DTD)"
"2021-01-15","76ers","","• Joel Embiid","placed on IL with sore right knee"
"2021-01-15","Blazers","","• C.J. Elleby","strained left foot (DTD)"
"2021-01-15","Bucks","• Torrey Craig","","activated from IL"
"2021-01-15","Bulls","• Lauri Markkanen","","activated from IL"
"2021-01-15","Bulls","• Otto Porter Jr.","","activated from IL"
"2021-01-15","Bulls","• Ryan Arcidiacono","","activated from IL"
"2021-01-15","Cavaliers","• Andre Drummond","","returned to lineup"
"2021-01-15","Celtics","","• Jayson Tatum","placed on IL with NBA health and safety protocols"
"2021-01-15","Hawks","• Onyeka Okongwu","","activated from IL"
"2021-01-15","Hawks","• Rajon Rondo","","activated from IL"
"2021-01-15","Kings","","• Hassan Whiteside","placed on IL with sore left hip"
"2021-01-15","Knicks","• Reggie Bullock","","activated from IL"
"2021-01-15","Lakers","• Wesley Matthews / Wes Matthews Jr.","","activated from IL"
"2021-01-15","Pelicans","• Eric Bledsoe","","activated from IL"
"2021-01-15","Timberwolves","","• Karl-Anthony Towns","COVID-19 (DTD)"
"2021-01-16","Blazers","","• Jusuf Nurkic","placed on IL with fractured right wrist"
"2021-01-16","Grizzlies","• Ja Morant","","activated from IL"
"2021-01-16","Grizzlies","• Killian Tillie","","activated from IL"
"2021-01-16","Hawks","","• Cameron Reddish / Cam Reddish","bruised left knee (DTD)"
"2021-01-16","Heat","","• Avery Bradley","placed on IL with NBA health and safety protocols"
"2021-01-16","Heat","","• Jimmy Butler","placed on IL with NBA health and safety protocols"
"2021-01-16","Heat","","• Tyler Herro","neck spasms (DTD)"
"2021-01-13","Nets","• Tyler Johnson","","activated from IL"
"2021-01-13","Pelicans","","• Eric Bledsoe","placed on IL with right eye injury"
"2021-01-13","Pelicans","","• Zion Williamson","placed on IL with NBA health and safety protocols"
"2021-01-13","Rockets","","• John Wall (Hildred)","sore left knee (DTD)"
"2021-01-13","Timberwolves","• Karl-Anthony Towns","","activated from IL"
"2021-01-13","Warriors","• Eric Paschall","","activated from IL"
"2021-01-14","76ers","","• Matisse Thybulle","placed on IL with NBA health and safety protocols"
"2021-01-14","76ers","","• Shake Milton","placed on IL with NBA health and safety protocols"
"2021-01-14","76ers","• Matisse Thybulle","","activated from IL"
"2021-01-14","76ers","• Shake Milton","","activated from IL"
"2021-01-14","76ers","• Terrance Ferguson","","activated from IL"
"2021-01-14","76ers","• Tobias Harris","","activated from IL"
"2021-01-14","Blazers","","• Jusuf Nurkic","fractured right wrist (out indefinitely)"
"2021-01-14","Bulls","","• Devon Dotson","placed on IL with NBA health and safety protocols"
"2021-01-14","Bulls","","• Luke Kornet","placed on IL with NBA health and safety protocols"
"2021-01-14","Celtics","","• Carsen Edwards","placed on IL with NBA health and safety protocols"
"2021-01-14","Celtics","• Grant Williams","","activated from IL"
"2021-01-14","Celtics","• Tristan Thompson","","activated from IL"
"2021-01-14","Clippers","","• Louis Williams / Lou Williams","sore left hip (DTD)"
"2021-01-14","Hornets","","• Gordon Hayward","left hip injury (DTD)"
"2021-01-14","Kings","","• Jahmi'us Ramsey","placed on IL with strained left groin"
"2021-01-14","Magic","","• Mohamed Bamba / Mo Bamba","NBA health and safety protocols (DTD)"
"2021-01-14","Pacers","","• Victor Oladipo","placed on IL with NBA health and safety protocols"
"2021-01-14","Pelicans","• Zion Williamson","","activated from IL"
"2021-01-14","Rockets","","• Eric Gordon","left leg injury (DTD)"
"2021-01-12","76ers","","• Terrance Ferguson","placed on IL for NBA health and safety protocols"
"2021-01-12","76ers","• Ben Simmons","","activated from IL"
"2021-01-12","Cavaliers","","• Andre Drummond","right Achilles injury (DTD)"
"2021-01-12","Heat","","• Meyers Leonard","strained left shoulder (DTD)"
"2021-01-12","Heat","• Gabe Vincent","","activated from IL"
"2021-01-12","Jazz","","• Joe Ingles","placed on IL with sore right Achilles"
"2021-01-12","Jazz","","• Trent Forrest","placed on IL"
"2021-01-12","Knicks","• Taj Gibson","","returned to lineup"
"2021-01-12","Lakers","","• Wesley Matthews / Wes Matthews Jr.","placed on IL with right Achilles injury (DTD)"
"2021-01-12","Mavericks","","• Dwight Powell","placed on IL with NBA health and safety protocols"
"2021-01-12","Pacers","","• Victor Oladipo","right knee injury (DTD)"
"2021-01-12","Pelicans","","• Lonzo Ball","placed on IL with knee injury"
"2021-01-12","Spurs","","• Keita Bates-Diop","placed on IL with upper respiratory infection"
"2021-01-12","Warriors","","• Eric Paschall","placed on IL with NBA health and safety protocols"
"2021-01-12","Wizards","","• Moritz Wagner / Moe Wagner","NBA health and safety protocols (DTD)"
"2021-01-12","Wizards","","• Rui Hachimura","NBA health and safety protocols (DTD)"
"2021-01-12","Jazz","• Jarrell Brantley","","activated from IL"
"2021-01-13","Grizzlies","• John Konchar","","returned to lineup"
"2021-01-13","Kings","• Jahmi'us Ramsey","","activated from IL"
"2021-01-13","Knicks","• Obi Toppin","","activated from IL"
"2021-01-13","Mavericks","• Kristaps Porzingis","","activated from IL"
"2021-01-13","Nets","","• Caris LeVert","placed on IL"
"2021-01-13","Nets","","• Jarrett Allen","placed on IL"
"2021-01-13","Nets","","• Rodions Kurucs","placed on IL"
"2021-01-13","Nets","","• Taurean Prince","placed on IL"
"2021-01-10","Lakers","• Kentavious Caldwell-Pope","","activated from IL"
"2021-01-10","Mavericks","","• Maximilian Kleber / Maxi Kleber","placed on IL with NBA health and safety protocols"
"2021-01-10","Nets","• Kevin Durant","","activated from IL"
"2021-01-10","Pistons","","• Derrick Rose","placed on IL with sore left knee"
"2021-01-10","Timberwolves","","• Karl-Anthony Towns","placed on IL with left wrist injury"
"2021-01-10","Timberwolves","• Josh Okogie","","activated from IL"
"2021-01-10","Wizards","","• Thomas Bryant","torn ACL in left knee (out for season)"
"2021-01-10","Wizards","• Bradley Beal","","returned to lineup"
"2021-01-11","76ers","• Joel Embiid","","activated from IL"
"2021-01-11","Bucks","• Giannis Antetokounmpo","","activated from IL"
"2021-01-11","Cavaliers","","• Darius Garland","placed on IL with strained right shoulder"
"2021-01-11","Heat","","• Edrice Adebayo / Bam Adebayo","NBA health and safety protocols (DTD)"
"2021-01-11","Heat","","• Goran Dragic","placed on IL with NBA health and safety protocols"
"2021-01-11","Heat","","• Jimmy Butler","NBA health and safety protocols (DTD)"
"2021-01-11","Heat","","• K.Z. Okpala","placed on IL with NBA health and safety protocols"
"2021-01-11","Heat","","• Kendrick Nunn","placed on IL with NBA health and safety protocols"
"2021-01-11","Heat","","• Maurice Harkless / Moe Harkless","placed on IL with NBA health and safety protocols"
"2021-01-11","Heat","","• Udonis Haslem","NBA health and safety protocols (DTD)"
"2021-01-11","Kings","","• Jahmi'us Ramsey","placed on IL"
"2021-01-11","Kings","• Jabari Parker","","returned to lineup"
"2021-01-11","Kings","• Richaun Holmes","","returned to lineup"
"2021-01-11","Knicks","","• Reggie Bullock","placed on IL with right hip injury"
"2021-01-11","Rockets","","• Danuel House","placed on IL with NBA health and safety protocols"
"2021-01-11","Wizards","","• Russell Westbrook","placed on IL with left quadriceps injury"
"2021-01-11","Wizards","","• Thomas Bryant","placed on IL with torn ACL in left knee"
"2021-01-09","76ers","• (James) Mike Scott","","activated from IL"
"2021-01-09","Bucks","","• Giannis Antetokounmpo","placed on IL with back spasms"
"2021-01-09","Bucks","• Pat Connaughton","","activated from IL"
"2021-01-09","Hawks","• Tony Snell","","returned to lineup"
"2021-01-09","Heat","","• Gabe Vincent","placed on IL with sore right knee"
"2021-01-09","Heat","• Maurice Harkless / Moe Harkless","","activated from IL"
"2021-01-09","Kings","","• Richaun Holmes","sore right ankle (DTD)"
"2021-01-09","Magic","• Aaron Gordon","","returned to lineup"
"2021-01-09","Mavericks","• Trey Burke","","activated from IL"
"2021-01-09","Suns","","• Cameron Payne","sprained right ankle (DTD)"
"2021-01-09","Timberwolves","• Karl-Anthony Towns","","activated from IL"
"2021-01-09","Wizards","","• Bradley Beal","NBA health and safety protocols (DTD)"
"2021-01-09","Wizards","","• Russell Westbrook","left quadriceps injury (DTD)"
"2021-01-10","Bulls","","• Otto Porter Jr.","placed on IL with back injury"
"2021-01-10","Celtics","","• Javonte Green","NBA health and safety protocols (DTD)"
"2021-01-10","Celtics","","• Jaylen Brown","NBA health and safety protocols (DTD)"
"2021-01-10","Celtics","","• Jayson Tatum","NBA health and safety protocols (DTD)"
"2021-01-10","Celtics","","• Semi Ojeleye","NBA health and safety protocols (DTD)"
"2021-01-10","Hawks","","• Bogdan Bogdanovic","placed on IL with sprained right knee"
"2021-01-10","Heat","","• Avery Bradley","NBA health and safety protocols (DTD)"
"2021-01-10","Heat","","• Goran Dragic","sore right knee (DTD)"
"2021-01-10","Jazz","• Joe Ingles","","activated from IL"
"2021-01-10","Lakers","","• Jared Dudley","placed on IL with right calf injury"
"2021-01-10","Lakers","","• Wesley Matthews / Wes Matthews Jr.","right Achilles injury (DTD)"
"2021-01-10","Lakers","• Anthony Davis","","activated from IL"
"2021-01-08","Jazz","","• Joe Ingles","placed on IL with right Achilles injury"
"2021-01-08","Knicks","","• Taj Gibson","NBA health and safety protocols (DTD)"
"2021-01-08","Knicks","• Nerlens Noel","","activated from IL"
"2021-01-08","Lakers","","• Anthony Davis","placed on IL with strained right adductor"
"2021-01-08","Magic","","• Aaron Gordon","left hamstring injury (DTD)"
"2021-01-08","Magic","","• Markelle Fultz","placed on IL with torn ACL in left knee (out for season)"
"2021-01-08","Mavericks","","• Dorian Finney-Smith","placed on IL with NBA health and safety protocols"
"2021-01-08","Mavericks","","• Jalen Brunson","placed on IL with NBA health and safety protocols"
"2021-01-08","Mavericks","","• Josh Richardson","placed on IL with NBA health and safety protocols"
"2021-01-08","Nets","","• Tyler Johnson","placed on IL with NBA health and safety protocols"
"2021-01-08","Nets","• Reggie Perry","","activated from IL"
"2021-01-08","Pelicans","• Sindarius Thornwell","","activated from IL"
"2021-01-08","Pistons","• Josh Jackson","","activated from IL"
"2021-01-08","Rockets","","• Brodric Thomas","placed on IL with sprained right ankle"
"2021-01-08","Rockets","• Ben McLemore","","returned to lineup"
"2021-01-08","Rockets","• Christian Wood","","returned to lineup"
"2021-01-08","Rockets","• Kenyon Martin Jr. / K.J. Martin","","activated from IL"
"2021-01-08","Rockets","• Mason Jones","","activated from IL"
"2021-01-08","Thunder","• Aleksej Pokusevski","","activated from IL"
"2021-01-09","76ers","","• Ben Simmons","placed on IL with sore left knee"
"2021-01-09","76ers","","• Joel Embiid","placed on IL with back injury"
"2021-01-09","76ers","","• Matisse Thybulle","NBA health and safety protocols (DTD)"
"2021-01-09","76ers","","• Shake Milton","NBA health and safety protocols (DTD)"
"2021-01-09","76ers","","• Tobias Harris","placed on IL with NBA health and safety protocols"
"2021-01-09","76ers","","• Vincent Poirier","NBA health and safety protocols (DTD)"
"2021-01-06","Lakers","• Alex Caruso","","returned to lineup"
"2021-01-06","Magic","","• Markelle Fultz","torn ACL in left knee (out for season)"
"2021-01-06","Mavericks","","• Trey Burke","placed on IL with illness"
"2021-01-06","Pistons","","• Killian Hayes","placed on IL with torn labrum in right hip"
"2021-01-06","Pistons","• Blake Griffin","","activated from IL"
"2021-01-06","Rockets","","• Christian Wood","sore left knee (DTD)"
"2021-01-06","Suns","• Jalen Smith","","activated from IL"
"2021-01-07","76ers","","• Seth Curry","placed on IL with sore left ankle"
"2021-01-07","Blazers","• Rodney Hood","","activated from IL"
"2021-01-07","Cavaliers","","• Collin Sexton","sprained left ankle (DTD)"
"2021-01-07","Hornets","• Nick Richards","","returned to lineup"
"2021-01-07","Nets","","• Reggie Perry","placed on IL with left groin injury"
"2021-01-07","Nets","","• Tyler Johnson","NBA health and safety protocols (DTD)"
"2021-01-07","Nets","• Rodions Kurucs","","returned to lineup"
"2021-01-07","Spurs","","• Drew Eubanks","placed on IL with NBA health and safety protocols"
"2021-01-07","Spurs","• Keita Bates-Diop","","activated from IL"
"2021-01-07","Suns","","• Jalen Smith","placed on IL with NBA health and safety protocols"
"2021-01-08","76ers","","• Seth Curry","placed on IL with COVID-19"
"2021-01-08","Bucks","","• Jaylen Adams","placed on IL"
"2021-01-08","Bucks","• Sam Merrill","","activated from IL"
"2021-01-08","Celtics","","• Grant Williams","placed on IL with NBA health and safety protocols"
"2021-01-08","Celtics","","• Robert Williams III","placed on IL with COVID-19"
"2021-01-08","Celtics","","• Tristan Thompson","placed on IL with NBA health and safety protocols"
"2021-01-08","Celtics","• Javonte Green","","activated from IL"
"2021-01-08","Celtics","• Jeff Teague","","activated from IL"
"2021-01-05","Cavaliers","","• Dante Exum","placed on IL with strained right calf (out for season)"
"2021-01-05","Cavaliers","• Isaac Okoro","","activated from IL"
"2021-01-05","Clippers","","• Paul George","sore right ankle (DTD)"
"2021-01-05","Hawks","","• Rajon Rondo","placed on IL with sore left knee"
"2021-01-05","Jazz","","• Juwan Morgan","placed on IL with NBA health and safety protocols"
"2021-01-05","Jazz","• Trent Forrest","","activated from IL"
"2021-01-05","Magic","","• Michael Carter-Williams","placed on IL with sore left foot"
"2021-01-05","Magic","• James Ennis","","activated from IL"
"2021-01-05","Nets","","• Rodions Kurucs","sprained left ankle (DTD)"
"2021-01-05","Pacers","","• Jalen Lecque","placed on IL with sprained left ankle"
"2021-01-05","Rockets","","• Ben McLemore","conditioning (DTD)"
"2021-01-05","Rockets","","• Kenyon Martin Jr. / K.J. Martin","placed on IL with conditioning"
"2021-01-05","Spurs","• LaMarcus Aldridge","","activated from IL"
"2021-01-05","Suns","• Abdel Nader","","returned to lineup"
"2021-01-05","Timberwolves","• Jaylen Nowell","","returned to lineup"
"2021-01-06","Celtics","• Marcus Smart","","activated from IL"
"2021-01-06","Clippers","• Marcus Morris","","activated from IL"
"2021-01-06","Clippers","• Paul George","","returned to lineup"
"2021-01-06","Heat","","• Maurice Harkless / Moe Harkless","placed on IL with left forearm injury"
"2021-01-06","Hornets","","• Nick Richards","NBA health and safety protocols (DTD)"
"2021-01-06","Kings","","• Jabari Parker","NBA health and safety protocols (DTD)"
"2021-01-06","Kings","• Tyrese Haliburton","","activated from IL"
"2021-01-06","Knicks","","• Nerlens Noel","placed on IL with sprained left ankle"
"2021-01-06","Knicks","• Dennis Smith Jr.","","activated from IL"
"2021-01-06","Knicks","• Omari Spellman","","returned to lineup"
"2021-01-03","Grizzlies","• Grayson Allen","","returned to lineup"
"2021-01-03","Grizzlies","• Xavier Tillman","","returned to lineup"
"2021-01-03","Lakers","","• Kentavious Caldwell-Pope","placed on IL with sprained left ankle"
"2021-01-03","Mavericks","","• Luka Doncic","bruised left quadricep (DTD)"
"2021-01-03","Pistons","• Blake Griffin","","activated from IL"
"2021-01-03","Rockets","• Ben McLemore","","returned to lineup"
"2021-01-03","Rockets","• Kenyon Martin Jr. / K.J. Martin","","activated from IL"
"2021-01-03","Thunder","","• Aleksej Pokusevski","placed on IL with concussion"
"2021-01-04","Bucks","","• Pat Connaughton","placed on IL with strained left groin"
"2021-01-04","Bucks","• Jaylen Adams","","activated from IL"
"2021-01-04","Cavaliers","","• Darius Garland","strained right shoulder (DTD)"
"2021-01-04","Celtics","","• Jeff Teague","placed on IL with sprained left ankle"
"2021-01-04","Celtics","","• Marcus Smart","placed on IL with sprained right thumb"
"2021-01-04","Grizzlies","","• John Konchar","sprained left ankle (DTD)"
"2021-01-04","Hawks","• Rajon Rondo","","activated from IL"
"2021-01-04","Heat","• Gabe Vincent","","activated from IL"
"2021-01-04","Knicks","","• Nerlens Noel","sprained left ankle (DTD)"
"2021-01-04","Mavericks","• Luka Doncic","","returned to lineup"
"2021-01-04","Nets","","• Kevin Durant","placed on IL with NBA health and safety protocols"
"2021-01-04","Nets","","• Spencer Dinwiddie","surgery on right knee to repair torn ACL (out indefinitely)"
"2021-01-04","Pelicans","• Wenyen Gabriel","","returned to lineup"
"2021-01-04","Pistons","","• Blake Griffin","placed on IL"
"2021-01-04","Pistons","","• Josh Jackson","placed on IL with sprained right ankle"
"2021-01-04","Rockets","","• Danuel House","placed on IL with back injury"
"2021-01-04","Rockets","• James Harden","","returned to lineup"
"2021-01-01","Kings","","• Tyrese Haliburton","placed on IL with left wrist injury"
"2021-01-01","Magic","","• Chuma Okeke","placed on IL with left knee injury"
"2021-01-01","Magic","• Mohamed Bamba / Mo Bamba","","returned to lineup"
"2021-01-01","Nuggets","","• Michael Porter Jr.","placed on IL with NBA health and safety protocols"
"2021-01-01","Nuggets","• Jamal Murray","","returned to lineup"
"2021-01-01","Nuggets","• JaMychal Green","","activated from IL"
"2021-01-01","Pistons","• Jahlil Okafor","","returned to lineup"
"2021-01-01","Spurs","","• Keita Bates-Diop","placed on IL"
"2021-01-01","Suns","","• Dario Saric","right quadricep injury (DTD)"
"2021-01-01","Warriors","• Draymond Green","","activated from IL"
"2021-01-02","76ers","","• (James) Mike Scott","placed on IL with bruised left knee"
"2021-01-02","Blazers","","• Rodney Hood","placed on IL with strained left quadriceps"
"2021-01-02","Blazers","• Gary Trent Jr.","","activated from IL"
"2021-01-02","Hawks","","• Danilo Gallinari","placed on IL with sprained right ankle"
"2021-01-02","Knicks","","• Alec Burks","placed on IL with sprained left ankle"
"2021-01-02","Knicks","• Immanuel Quickley","","activated from IL"
"2021-01-02","Magic","","• Evan Fournier","placed on IL with back spasms"
"2021-01-02","Magic","• Terrence Ross","","activated from IL"
"2021-01-02","Pelicans","","• Sindarius Thornwell","placed on IL with NBA health and safety protocols"
"2021-01-02","Rockets","","• James Harden","sprained right ankle (DTD)"
"2021-01-02","Spurs","","• Derrick White","placed on IL with fractured toe"
"2021-01-02","Suns","• Dario Saric","","returned to lineup"
"2021-01-03","Blazers","• Nassir Little","","returned to lineup"
"2021-01-03","Bucks","","• Sam Merrill","placed on IL with sprained left ankle"
"2021-01-03","Bulls","","• Tomas Satoransky","COVID-19 (DTD)"
"2020-12-30","Rockets","","• Mason Jones","placed on IL with sprained right ankle"
"2020-12-30","Rockets","• DeMarcus Cousins","","returned to lineup"
"2020-12-30","Rockets","• Eric Gordon","","returned to lineup"
"2020-12-30","Rockets","• John Wall (Hildred)","","returned to lineup"
"2020-12-30","Spurs","","• LaMarcus Aldridge","placed on IL with sore left knee"
"2020-12-30","Thunder","• George Hill","","activated from IL"
"2020-12-30","Wizards","• Rui Hachimura","","activated from IL"
"2020-12-31","Bulls","","• Chandler Hutchison","placed on IL with NBA health and safety protocols"
"2020-12-31","Bulls","","• Lauri Markkanen","placed on IL with NBA health and safety protocols"
"2020-12-31","Bulls","","• Ryan Arcidiacono","placed on IL with NBA health and safety protocols"
"2020-12-31","Bulls","","• Tomas Satoransky","placed on IL with NBA health and safety protocols"
"2020-12-31","Bulls","• Devon Dotson","","activated from IL"
"2020-12-31","Celtics","• Tristan Thompson","","activated from IL"
"2020-12-31","Hawks","","• Danilo Gallinari","sprained right ankle (out indefinitely)"
"2020-12-31","Hawks","","• Rajon Rondo","placed on IL with sore left knee"
"2020-12-31","Knicks","• Austin Rivers","","activated from IL"
"2020-12-31","Magic","","• Mohamed Bamba / Mo Bamba","head injury (DTD)"
"2020-12-31","Magic","","• Terrence Ross","placed on IL with right hamstring injury"
"2020-12-31","Pacers","","• T.J. Warren","surgery on left foot to repair stress fracture (out for season) (date approximate)"
"2020-12-31","Pistons","","• Blake Griffin","placed on IL with concussion"
"2020-12-31","Spurs","• Derrick White","","activated from IL"
"2020-12-31","Suns","","• Jalen Smith","placed on IL with sprained left ankle"
"2021-01-01","Grizzlies","","• Grayson Allen","sprained left ankle (DTD)"
"2021-01-01","Heat","","• Gabe Vincent","placed on IL with sore right knee"
"2021-01-01","Heat","• Jimmy Butler","","activated from IL"
"2020-12-29","76ers","• Joel Embiid","","returned to lineup"
"2020-12-29","Bucks","","• Torrey Craig","placed on IL with fractured nose"
"2020-12-29","Bulls","• Thaddeus Young","","returned to lineup"
"2020-12-29","Grizzlies","","• Ja Morant","placed on IL with sprained left ankle"
"2020-12-29","Heat","• Gabe Vincent","","activated from IL"
"2020-12-29","Knicks","","• Alec Burks","sprained left ankle (DTD)"
"2020-12-29","Nuggets","","• Jamal Murray","right elbow injury (DTD)"
"2020-12-29","Pacers","• Edmond Sumner","","returned to lineup"
"2020-12-29","Pacers","• Victor Oladipo","","activated from IL"
"2020-12-29","Pistons","• Blake Griffin","","activated from IL"
"2020-12-29","Suns","• Dario Saric","","returned to lineup"
"2020-12-29","Thunder","","• George Hill","placed on IL with neck spasms"
"2020-12-29","Timberwolves","","• Josh Okogie","placed on IL with strained left hamstring"
"2020-12-30","Blazers","","• Gary Trent Jr.","placed on IL with strained right calf"
"2020-12-30","Blazers","• Carmelo Anthony","","activated from IL"
"2020-12-30","Celtics","","• Javonte Green","placed on IL with NBA health and safety protocols"
"2020-12-30","Celtics","","• Tristan Thompson","placed on IL with right hamstring injury"
"2020-12-30","Celtics","• Tacko Fall","","activated from IL"
"2020-12-30","Clippers","• Kawhi Leonard","","returned to lineup"
"2020-12-30","Hawks","","• Kris Dunn","surgery on right ankle to remove loose cartilage (out indefinitely)"
"2020-12-30","Hawks","• Danilo Gallinari","","returned to lineup"
"2020-12-30","Kings","","• DaQuan Jeffries","placed on IL with sprained left ankle"
"2020-12-30","Knicks","","• Frank Ntilikina","placed on IL with sprained right knee"
"2020-12-30","Nets","• Kyrie Irving","","activated from IL"
"2020-12-30","Pacers","","• T.J. Warren","placed on IL with stress fracture in left foot (out for season)"
"2020-12-27","Bucks","","• Jaylen Adams","placed on IL"
"2020-12-27","Cavaliers","","• Isaac Okoro","placed on IL with sprained left foot"
"2020-12-27","Celtics","• Robert Williams III","","activated from IL"
"2020-12-27","Clippers","","• Kawhi Leonard","mouth injury (DTD)"
"2020-12-27","Hawks","","• Kris Dunn","placed on IL with loose cartilage in right ankle"
"2020-12-27","Hornets","• Grant Riller","","returned to lineup"
"2020-12-27","Knicks","","• Dennis Smith Jr.","placed on IL with bruised left quadricep"
"2020-12-27","Lakers","","• Anthony Davis","placed on IL with right calf injury"
"2020-12-27","Lakers","• Kostas Antetokounmpo","","activated from IL"
"2020-12-27","Pacers","","• Victor Oladipo","placed on IL with right knee injury"
"2020-12-27","Pelicans","• Will Magnay","","returned to lineup"
"2020-12-27","Pistons","","• Blake Griffin","placed on IL with left knee injury"
"2020-12-27","Suns","","• Jalen Smith","sprained left ankle (DTD)"
"2020-12-27","Timberwolves","","• Karl-Anthony Towns","placed on IL with sprained left wrist"
"2020-12-27","Timberwolves","","• left wrist injury (DTD)","placed on IL with left wrist injury (DTD)"
"2020-12-28","76ers","","• Furkan Korkmaz","placed on IL with strained left adductor"
"2020-12-28","Blazers","","• Carmelo Anthony","placed on IL"
"2020-12-28","Bucks","","• Torrey Craig","fractured nose (out indefinitely)"
"2020-12-28","Hawks","• Clint Capela","","activated from IL"
"2020-12-28","Lakers","","• Alex Caruso","NBA health and safety protocols (DTD)"
"2020-12-28","Lakers","","• Kostas Antetokounmpo","placed on IL with right knee tendinitis"
"2020-12-28","Lakers","• Anthony Davis","","activated from IL"
"2020-12-28","Nets","","• Kyrie Irving","placed on IL"
"2020-12-28","Nets","","• Spencer Dinwiddie","placed on IL with torn ACL in right knee"
"2020-12-28","Pistons","","• Jahlil Okafor","sprained right ankle (DTD)"
"2020-12-25","Bucks","• D.J. Augustine","","activated from IL"
"2020-12-25","Celtics","","• Robert Williams III","placed on IL with illness"
"2020-12-25","Rockets","","• Ben McLemore","COVID-19 protocols"
"2020-12-25","Rockets","","• DeMarcus Cousins","COVID-19 protocols"
"2020-12-25","Rockets","","• Eric Gordon","COVID-19 protocols"
"2020-12-25","Rockets","","• John Wall (Hildred)","COVID-19 protocols"
"2020-12-25","Spurs","","• Derrick White","surgery on left toe (out indefinitely)"
"2020-12-26","Cavaliers","","• Dylan Windler","placed on IL with fractured left hand"
"2020-12-26","Cavaliers","• Dante Exum","","activated from IL"
"2020-12-26","Grizzlies","","• De'Anthony Melton","placed on IL due to NBA health and safety protocols"
"2020-12-26","Hawks","","• Danilo Gallinari","bruised left foot (DTD)"
"2020-12-26","Hawks","• Rajon Rondo","","activated from IL"
"2020-12-26","Heat","","• Jimmy Butler","placed on IL with sprained right ankle"
"2020-12-26","Hornets","","• Cody Zeller","placed on IL with fractured left hand"
"2020-12-26","Kings","• Jabari Parker","","returned to lineup"
"2020-12-26","Knicks","","• Immanuel Quickley","placed on IL with left hip injury"
"2020-12-26","Knicks","","• Obi Toppin","placed on IL with strained right calf"
"2020-12-26","Pacers","","• Edmond Sumner","illness (DTD)"
"2020-12-26","Suns","• Frank Kaminsky","","activated from IL"
"2020-12-26","Thunder","","• Trevor Ariza","placed on IL"
"2020-12-26","Timberwolves","• Jordan McLaughlin","","activated from IL"
"2020-12-26","Warriors","","• Marquese Chriss","placed on IL with fractured fibula in right leg"
"2020-12-26","Cavaliers","• Kevin Love","","activated from IL"
"2020-12-26","Cavaliers","","• Kevin Love","placed on IL with strained right calf"
"2020-12-27","76ers","","• Joel Embiid","back injury (DTD)"
"2020-12-23","Bucks","","• D.J. Augustine","placed on IL with strained left calf"
"2020-12-23","Bulls","","• Devon Dotson","placed on IL"
"2020-12-23","Bulls","","• Thaddeus Young","leg injury (DTD)"
"2020-12-23","Cavaliers","","• Dante Exum","placed on IL with left hip injury"
"2020-12-23","Celtics","","• Kemba Walker","placed on IL with left knee injury"
"2020-12-23","Grizzlies","","• Jaren Jackson Jr.","placed on IL with left knee injury"
"2020-12-23","Grizzlies","","• Jontay Porter","right knee injury (DTD)"
"2020-12-23","Grizzlies","","• Justise Winslow","placed on IL with left hip injury"
"2020-12-23","Hawks","","• Clint Capela","placed on IL with sore left Achilles"
